epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.038,0.66271,1.02943,1.36921,1.02063,0.76115,0.76006,0.84269,0.72169,0.76115,0.76006,0.8414,0.68879,0.5428,0.9579,1.04488,0.96796,0.000369478,0.000369478,0.000369478
2,207.891,0.69493,1.01668,1.02939,1.03366,0.86132,0.88806,0.92077,0.80076,0.86255,0.89002,0.92198,0.82164,0.50408,0.58945,0.58312,0.95289,0.000732487,0.000732487,0.000732487
3,303.868,0.68396,0.99565,0.94652,1.02977,0.89778,0.90064,0.94066,0.82119,0.89778,0.90064,0.94073,0.82842,0.49163,0.62841,0.57438,0.94476,0.00108816,0.00108816,0.00108816
4,400.154,0.64859,0.9319,0.86708,1.00912,0.90901,0.9329,0.95309,0.84812,0.90957,0.93347,0.95379,0.85828,0.47147,0.56952,0.42504,0.93273,0.001078,0.001078,0.001078
5,499.147,0.62404,0.90787,0.81481,0.99898,0.91904,0.93217,0.95817,0.86528,0.91904,0.93217,0.95811,0.88407,0.41625,0.49509,0.39451,0.90051,0.001067,0.001067,0.001067
6,598.218,0.60527,0.86757,0.76319,0.98507,0.93637,0.9522,0.96146,0.8706,0.93694,0.95289,0.96211,0.86425,0.42288,0.50628,0.36348,0.91005,0.00105601,0.00105601,0.00105601
7,697.159,0.58672,0.83332,0.72049,0.9748,0.9394,0.95073,0.96846,0.90344,0.94001,0.95133,0.96856,0.892,0.36103,0.47292,0.32956,0.88529,0.00104501,0.00104501,0.00104501
8,796.289,0.56797,0.82474,0.68551,0.96618,0.91766,0.94944,0.95701,0.88381,0.91851,0.95041,0.95751,0.89255,0.37858,0.47504,0.35571,0.88279,0.00103401,0.00103401,0.00103401
9,895.012,0.5655,0.8172,0.68081,0.96802,0.94313,0.95087,0.96949,0.90757,0.94263,0.95228,0.96954,0.8969,0.35168,0.45981,0.31773,0.87577,0.00102301,0.00102301,0.00102301
10,993.802,0.55166,0.7833,0.6521,0.95834,0.93699,0.95379,0.96338,0.90289,0.93728,0.95409,0.96346,0.89438,0.35439,0.44776,0.30364,0.87332,0.00101201,0.00101201,0.00101201
